epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.85,2.33855,3.91727,2.15588,0,0,0,0,nan,nan,nan,0.0705556,0.0032716,0.0032716
2,346.185,2.64074,3.53024,2.41393,0,0,0,0,nan,nan,nan,0.0405539,0.00660332,0.00660332
3,634.79,2.59205,3.68777,2.42645,0,0,0,0,nan,nan,nan,0.0105458,0.00992856,0.00992856
4,816.422,2.53071,3.5261,2.41556,0.15484,0.23368,0.00888,0.00326,2.86961,143.469,4.04773,0.00997803,0.00997803,0.00997803
5,987.864,2.40959,3.20557,2.25487,0.33129,0.20219,0.20105,0.09208,2.52814,21.8175,2.7815,0.00996097,0.00996097,0.00996097
6,1250.44,2.37258,3.01032,2.29668,0.25383,0.26555,0.13395,0.05896,2.35971,17.3443,2.57051,0.00993906,0.00993906,0.00993906
7,1462.65,2.33503,2.99525,2.23298,0.63398,0.2165,0.18832,0.0768,2.22088,9.4263,2.44153,0.00991232,0.00991232,0.00991232
8,1684.23,2.2437,2.83729,2.24984,0.55622,0.37999,0.19701,0.09748,2.17908,30.7404,2.34132,0.00988079,0.00988079,0.00988079
9,1855,2.21758,2.59375,2.1194,0.7595,0.28264,0.37685,0.18033,2.09997,3.96313,2.25529,0.00984449,0.00984449,0.00984449
10,2040.71,2.21083,2.6918,2.15107,0.66059,0.43107,0.46487,0.21354,2.10773,2.91596,2.20813,0.00980345,0.00980345,0.00980345
11,2179.56,2.16804,2.61973,2.04733,0.75575,0.36131,0.45729,0.22748,1.97048,2.51717,2.1763,0.00975773,0.00975773,0.00975773
12,2382.4,2.12977,2.52692,2.06082,0.68244,0.49822,0.52346,0.26466,1.98135,2.26859,2.20483,0.00970736,0.00970736,0.00970736
13,2535.06,2.1295,2.44631,2.06126,0.68515,0.41974,0.48576,0.22239,2.04451,2.42237,2.17975,0.00965239,0.00965239,0.00965239
14,2682.24,2.09966,2.33705,1.98662,0.53738,0.44563,0.48081,0.22878,1.95192,2.36766,2.12809,0.00959289,0.00959289,0.00959289
15,2831.81,2.08047,2.35085,2.01278,0.5706,0.40361,0.3998,0.18874,2.05875,3.13209,2.20288,0.00952889,0.00952889,0.00952889
16,3044.62,2.03909,2.28339,1.94429,0.52105,0.50135,0.45931,0.22029,1.936,2.4256,2.04112,0.00946048,0.00946048,0.00946048
17,3241.61,2.03777,2.22233,1.9768,0.76632,0.53168,0.5692,0.27496,1.9952,2.22088,2.11897,0.00938772,0.00938772,0.00938772
18,3558.24,2.00887,2.13116,1.9523,0.7518,0.49465,0.57507,0.29463,1.8803,2.17151,2.06433,0.00931067,0.00931067,0.00931067
19,3713.7,2.01276,2.11493,1.97875,0.76698,0.49372,0.55599,0.29281,1.94912,2.05458,2.05642,0.00922942,0.00922942,0.00922942
20,3903.52,2.0389,2.14476,1.96579,0.72833,0.52573,0.56094,0.30166,1.84504,1.89884,1.9656,0.00914405,0.00914405,0.00914405
21,4108.15,1.99561,2.10393,1.92425,0.734,0.56019,0.58175,0.30649,1.85033,1.9947,1.99767,0.00905463,0.00905463,0.00905463
22,4358.72,1.93796,1.97488,1.83124,0.80086,0.58887,0.62712,0.32019,1.75785,1.71335,1.90997,0.00896127,0.00896127,0.00896127
23,4563.68,1.91201,1.97808,1.8217,0.64782,0.57835,0.60571,0.32012,1.75584,1.78518,1.8917,0.00886404,0.00886404,0.00886404
24,4690.24,1.89371,1.91061,1.81879,0.76636,0.58971,0.65107,0.34835,1.75427,1.69109,1.92915,0.00876305,0.00876305,0.00876305
25,4931.08,1.91511,1.96394,1.9008,0.81826,0.53329,0.60878,0.31907,1.80659,1.74382,1.95076,0.00865839,0.00865839,0.00865839
26,5117.56,1.83276,1.86169,1.78395,0.79958,0.54608,0.61771,0.31468,1.81182,1.76068,1.94345,0.00855018,0.00855018,0.00855018
27,5289.5,1.90534,1.82589,1.796,0.69641,0.55203,0.61527,0.32621,1.80211,1.71301,1.92195,0.00843851,0.00843851,0.00843851
28,5429.16,1.86154,1.75736,1.80869,0.79966,0.56682,0.62558,0.34988,1.78733,1.95101,1.91672,0.00832349,0.00832349,0.00832349
29,5620.09,1.83315,1.85656,1.80128,0.75189,0.58858,0.64118,0.33832,1.83576,1.7097,1.95998,0.00820525,0.00820525,0.00820525
30,5751.22,1.89713,1.8823,1.84084,0.78058,0.56608,0.63726,0.34632,1.76136,1.61596,1.91276,0.00808389,0.00808389,0.00808389
31,5953.88,1.78892,1.70215,1.70988,0.74824,0.58987,0.63854,0.35134,1.77302,1.6343,1.88723,0.00795954,0.00795954,0.00795954
32,6158.36,1.78317,1.71636,1.81626,0.75893,0.59331,0.68586,0.35974,1.75515,1.58547,1.86332,0.00783231,0.00783231,0.00783231
33,6328.54,1.78538,1.71594,1.69811,0.81168,0.63531,0.69302,0.36568,1.74016,1.60924,1.86725,0.00770234,0.00770234,0.00770234
34,6504.67,1.82157,1.70975,1.77767,0.83351,0.62107,0.69676,0.37781,1.72725,1.53445,1.83676,0.00756976,0.00756976,0.00756976
35,6706,1.80556,1.73067,1.74714,0.76436,0.62817,0.67584,0.37073,1.67875,1.51582,1.80609,0.00743468,0.00743468,0.00743468
36,6848.16,1.75168,1.69014,1.77073,0.77407,0.60196,0.67337,0.34992,1.78502,1.61719,1.88348,0.00729725,0.00729725,0.00729725
37,6996.84,1.74559,1.67238,1.73491,0.81638,0.61544,0.70557,0.37037,1.74928,1.59742,1.86017,0.00715761,0.00715761,0.00715761
38,7132.21,1.76724,1.67783,1.67221,0.73309,0.64181,0.67,0.35806,1.68001,1.54382,1.82731,0.00701588,0.00701588,0.00701588
39,7299.43,1.69723,1.56789,1.70416,0.72911,0.64612,0.68624,0.38548,1.6971,1.47796,1.81728,0.00687222,0.00687222,0.00687222
40,7500.9,1.71334,1.54777,1.6776,0.77604,0.69147,0.70371,0.38298,1.67975,1.5835,1.809,0.00672675,0.00672675,0.00672675
41,7725.36,1.70986,1.54309,1.63358,0.81265,0.65487,0.72545,0.39723,1.69917,1.43293,1.80178,0.00657963,0.00657963,0.00657963
42,7906.51,1.69848,1.52027,1.62633,0.78776,0.67015,0.70723,0.39415,1.68086,1.45464,1.79099,0.00643101,0.00643101,0.00643101
43,8101.56,1.69924,1.55764,1.66101,0.66526,0.62766,0.66528,0.3646,1.68463,1.71078,1.81446,0.00628101,0.00628101,0.00628101
44,8379.14,1.72928,1.63503,1.7539,0.87495,0.63446,0.69709,0.39539,1.67069,1.43837,1.80279,0.00612981,0.00612981,0.00612981
45,8575.17,1.68733,1.53586,1.68148,0.77664,0.64276,0.70616,0.39899,1.64799,1.40363,1.78058,0.00597754,0.00597754,0.00597754
46,8747.44,1.70722,1.57631,1.69863,0.76277,0.68237,0.70942,0.40211,1.65324,1.3491,1.75885,0.00582435,0.00582435,0.00582435
47,8959.79,1.69251,1.54635,1.69155,0.79395,0.68462,0.71816,0.41058,1.6362,1.35503,1.74289,0.0056704,0.0056704,0.0056704
48,9116.45,1.68666,1.4902,1.71272,0.90205,0.64434,0.72573,0.41416,1.6872,1.31527,1.80131,0.00551584,0.00551584,0.00551584
49,9295.72,1.64585,1.41347,1.59186,0.84958,0.63902,0.71645,0.40838,1.63159,1.33866,1.7774,0.00536081,0.00536081,0.00536081
50,9425.75,1.65875,1.39639,1.62091,0.75158,0.68068,0.70266,0.38864,1.67558,1.38463,1.79809,0.00520548,0.00520548,0.00520548
51,9640.05,1.6711,1.45194,1.6609,0.72779,0.70281,0.70776,0.40542,1.62029,1.30395,1.71389,0.00505,0.00505,0.00505
52,9782.13,1.6307,1.40658,1.60853,0.8102,0.66387,0.72099,0.42499,1.58841,1.32675,1.73223,0.00489452,0.00489452,0.00489452
53,9898.52,1.61596,1.38478,1.61058,0.83109,0.67309,0.73088,0.39771,1.65628,1.31658,1.76806,0.00473919,0.00473919,0.00473919
54,10082.6,1.5715,1.31342,1.52364,0.88643,0.67526,0.74963,0.42084,1.62039,1.31405,1.74639,0.00458416,0.00458416,0.00458416
55,10238.3,1.59062,1.33753,1.58361,0.86989,0.69912,0.7422,0.42459,1.55951,1.20978,1.69421,0.0044296,0.0044296,0.0044296
56,10403.5,1.58708,1.33599,1.56688,0.84162,0.68721,0.73975,0.41712,1.59556,1.24671,1.7051,0.00427565,0.00427565,0.00427565
57,10714.6,1.5452,1.25177,1.59859,0.87577,0.67181,0.74153,0.41169,1.54947,1.29828,1.70737,0.00412246,0.00412246,0.00412246
58,10930.3,1.63882,1.40883,1.63806,0.86363,0.66089,0.75892,0.43356,1.58773,1.25689,1.70816,0.00397019,0.00397019,0.00397019
59,11144.5,1.57261,1.30471,1.57467,0.80647,0.72222,0.76513,0.44348,1.55791,1.2159,1.69521,0.00381899,0.00381899,0.00381899
60,11350.9,1.56702,1.32113,1.59028,0.80363,0.70169,0.74784,0.43023,1.57621,1.24094,1.70032,0.00366899,0.00366899,0.00366899
61,11451,1.54436,1.28853,1.50139,0.82998,0.72647,0.76106,0.4431,1.53983,1.24655,1.69132,0.00352037,0.00352037,0.00352037
62,11614,1.5135,1.21961,1.49685,0.85241,0.72357,0.76745,0.44432,1.58031,1.16285,1.70897,0.00337325,0.00337325,0.00337325
63,11867.2,1.59342,1.27054,1.59029,0.86038,0.69854,0.75559,0.43243,1.56546,1.21064,1.7093,0.00322778,0.00322778,0.00322778
64,12006.1,1.57088,1.24606,1.54809,0.83127,0.69259,0.74966,0.42827,1.57498,1.20499,1.69916,0.00308412,0.00308412,0.00308412
65,12140.8,1.49636,1.17724,1.51575,0.86156,0.72235,0.78144,0.45614,1.56456,1.14783,1.69986,0.00294239,0.00294239,0.00294239
66,12309.6,1.49476,1.21652,1.52896,0.88018,0.69969,0.78413,0.44741,1.59537,1.19588,1.71113,0.00280275,0.00280275,0.00280275
67,12468.4,1.53863,1.23348,1.53548,0.86955,0.69969,0.76928,0.4337,1.59596,1.23526,1.71264,0.00266532,0.00266532,0.00266532
68,12615.8,1.5129,1.20243,1.53013,0.81607,0.72469,0.77556,0.44521,1.58452,1.17573,1.70748,0.00253024,0.00253024,0.00253024
69,12794.5,1.507,1.22146,1.56161,0.81463,0.72625,0.77989,0.45103,1.54125,1.17684,1.66963,0.00239766,0.00239766,0.00239766
70,12937.6,1.48211,1.16251,1.45868,0.87168,0.7375,0.78816,0.45571,1.56458,1.125,1.68551,0.00226769,0.00226769,0.00226769
71,13118.5,1.46816,1.13089,1.49192,0.84736,0.73906,0.79069,0.45569,1.54466,1.10809,1.66956,0.00214046,0.00214046,0.00214046
72,13322.9,1.50218,1.15869,1.50683,0.78365,0.77477,0.78302,0.4572,1.56463,1.15664,1.69224,0.00201611,0.00201611,0.00201611
