epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1999,2.23287,3.83609,1.9077,0.05084,0.01181,0.00644,0.00132,2.81177,4.25752,5.84114,0.0705556,0.0032716,0.0032716
2,163.629,2.47312,3.43721,2.1396,0.00088,0.17876,0.00068,0.00024,2.71119,inf,24.0434,0.0405539,0.00660332,0.00660332
3,270.124,2.4495,3.31017,2.15881,0.03469,0.25019,0.02409,0.0088,2.90244,180.316,3.54551,0.0105458,0.00992856,0.00992856
4,343.454,2.47151,3.16732,2.16227,0.12126,0.20219,0.05946,0.01866,2.53416,28.0684,2.50711,0.00997803,0.00997803,0.00997803
5,400.736,2.44674,3.06041,2.08447,0.12308,0.13364,0.06829,0.02001,2.64739,30.6625,2.85404,0.00996097,0.00996097,0.00996097
6,478.756,2.29911,2.85833,2.01361,0.47695,0.28495,0.21132,0.08517,2.19231,10.5465,2.11911,0.00993906,0.00993906,0.00993906
7,588.334,2.24134,2.80109,1.94519,0.28209,0.27496,0.21803,0.10663,2.16764,7.94888,2.10606,0.00991232,0.00991232,0.00991232
8,659.038,2.14331,2.61043,1.93482,0.37932,0.34313,0.21981,0.10423,2.32804,26.5141,2.27732,0.00988079,0.00988079,0.00988079
9,734.397,2.16906,2.51119,1.85509,0.61634,0.34321,0.42051,0.20018,2.06042,4.23735,2.00899,0.00984449,0.00984449,0.00984449
10,812.739,2.16458,2.56495,1.9372,0.68104,0.3012,0.33325,0.17208,1.99769,3.58302,2.08273,0.00980345,0.00980345,0.00980345
11,878.065,2.12884,2.51139,1.87916,0.38767,0.35937,0.29357,0.13808,2.18904,2.86632,2.31685,0.00975773,0.00975773,0.00975773
12,953.716,2.09146,2.40121,1.84236,0.43205,0.4978,0.43089,0.19939,1.89303,2.6154,1.84358,0.00970736,0.00970736,0.00970736
13,1030.86,2.07055,2.33314,1.84258,0.65867,0.35063,0.44493,0.20894,2.03706,2.76075,2.03635,0.00965239,0.00965239,0.00965239
14,1097.45,2.00866,2.24374,1.80479,0.51431,0.54839,0.5327,0.26688,1.83475,2.22989,1.84824,0.00959289,0.00959289,0.00959289
15,1190.73,1.96545,2.25879,1.7689,0.56091,0.53879,0.47942,0.23753,1.93531,2.83599,1.88212,0.00952889,0.00952889,0.00952889
16,1258.87,2.01533,2.21022,1.76283,0.44134,0.46083,0.42388,0.20188,2.01546,2.89984,1.91867,0.00946048,0.00946048,0.00946048
17,1347,1.95988,2.10756,1.79352,0.65058,0.55376,0.59347,0.30044,1.83313,1.76922,1.82863,0.00938772,0.00938772,0.00938772
18,1433.94,1.89648,2.03644,1.75731,0.73966,0.5357,0.59455,0.3062,1.82537,1.9204,1.78707,0.00931067,0.00931067,0.00931067
19,1514.6,1.88516,2.04446,1.78054,0.69895,0.57759,0.60682,0.32132,1.78541,2.06504,1.78156,0.00922942,0.00922942,0.00922942
20,1615.53,1.96047,2.09969,1.7669,0.68963,0.53196,0.52662,0.26444,1.87524,3.86534,1.86976,0.00914405,0.00914405,0.00914405
21,1685.33,1.88988,2.01535,1.73353,0.66838,0.54359,0.5713,0.30114,1.74948,2.22132,1.77119,0.00905463,0.00905463,0.00905463
22,1753.6,1.89442,1.99947,1.70523,0.54606,0.54055,0.40731,0.20104,1.77363,4.03069,1.74801,0.00896127,0.00896127,0.00896127
23,1813.62,1.86655,1.91901,1.67592,0.73238,0.61672,0.63258,0.33656,1.74161,1.79112,1.71622,0.00886404,0.00886404,0.00886404
24,1919.59,1.81509,1.86526,1.61248,0.72909,0.5298,0.62502,0.33077,1.69285,2.03541,1.64937,0.00876305,0.00876305,0.00876305
25,1994.12,1.78117,1.84556,1.65948,0.71994,0.56727,0.6211,0.3433,1.63179,1.63901,1.63076,0.00865839,0.00865839,0.00865839
26,2055.13,1.80658,1.84374,1.63074,0.78699,0.57288,0.64275,0.31151,1.80507,1.84566,1.76826,0.00855018,0.00855018,0.00855018
27,2125.58,1.8589,1.80975,1.65565,0.7264,0.6363,0.64788,0.3239,1.77749,1.56752,1.72638,0.00843851,0.00843851,0.00843851
28,2201.4,1.84807,1.75582,1.67514,0.72451,0.62881,0.68079,0.34854,1.73477,1.63939,1.70062,0.00832349,0.00832349,0.00832349
29,2271.75,1.79654,1.8493,1.65698,0.77267,0.57519,0.63116,0.33699,1.74003,1.66683,1.72264,0.00820525,0.00820525,0.00820525
30,2341.5,1.82522,1.83123,1.66271,0.76911,0.61122,0.67245,0.37899,1.65839,1.57236,1.63896,0.00808389,0.00808389,0.00808389
31,2397.43,1.70967,1.66755,1.54885,0.72137,0.64612,0.6654,0.36693,1.65333,1.53187,1.63949,0.00795954,0.00795954,0.00795954
32,2474.74,1.71086,1.65192,1.61073,0.75998,0.67384,0.69947,0.39402,1.67202,1.53209,1.62972,0.00783231,0.00783231,0.00783231
33,2558.03,1.70247,1.6298,1.53977,0.80402,0.66374,0.72532,0.41702,1.61416,1.48071,1.61812,0.00770234,0.00770234,0.00770234
34,2628.08,1.78367,1.6569,1.61661,0.84802,0.59831,0.70187,0.40793,1.62922,1.49363,1.64029,0.00756976,0.00756976,0.00756976
35,2713.61,1.74659,1.62803,1.56773,0.87482,0.62542,0.71188,0.39707,1.65792,1.48086,1.64576,0.00743468,0.00743468,0.00743468
36,2790.86,1.70317,1.58142,1.59122,0.88234,0.61519,0.72737,0.42295,1.595,1.39707,1.56878,0.00729725,0.00729725,0.00729725
37,2858.26,1.66416,1.59527,1.53961,0.80102,0.64247,0.72116,0.40879,1.61157,1.38697,1.58573,0.00715761,0.00715761,0.00715761
38,2918.04,1.6689,1.55211,1.48963,0.78293,0.65446,0.71502,0.41192,1.60814,1.44589,1.56892,0.00701588,0.00701588,0.00701588
39,2985.2,1.63238,1.48753,1.51716,0.84664,0.65323,0.73645,0.41524,1.59886,1.51615,1.6049,0.00687222,0.00687222,0.00687222
40,3052.48,1.62815,1.42104,1.51108,0.86987,0.6381,0.75252,0.44097,1.54133,1.37888,1.54865,0.00672675,0.00672675,0.00672675
41,3117,1.63365,1.45668,1.47747,0.82689,0.67164,0.73282,0.42134,1.61908,1.41038,1.57655,0.00657963,0.00657963,0.00657963
42,3466.19,1.6593,1.44524,1.4654,0.76191,0.69142,0.72879,0.42975,1.57702,1.4227,1.57118,0.00643101,0.00643101,0.00643101
43,3545.09,1.63173,1.4362,1.5045,0.82512,0.68345,0.74359,0.41283,1.62676,1.50395,1.61032,0.00628101,0.00628101,0.00628101
44,3613.76,1.63658,1.55886,1.56721,0.83656,0.61617,0.71456,0.42876,1.6064,1.45414,1.58081,0.00612981,0.00612981,0.00612981
45,3669.53,1.59548,1.50282,1.51133,0.80447,0.69718,0.75004,0.45401,1.53683,1.39871,1.54268,0.00597754,0.00597754,0.00597754
46,3747.2,1.61597,1.47956,1.50004,0.81985,0.70888,0.76066,0.45378,1.5336,1.29912,1.54422,0.00582435,0.00582435,0.00582435
47,3809.37,1.60548,1.43882,1.50058,0.88683,0.66595,0.75869,0.43877,1.54596,1.3796,1.56411,0.0056704,0.0056704,0.0056704
48,3870.71,1.62021,1.44397,1.51344,0.89414,0.65073,0.76751,0.46234,1.50693,1.22608,1.53381,0.00551584,0.00551584,0.00551584
49,3929.5,1.56426,1.35914,1.43071,0.8246,0.69333,0.74811,0.44813,1.53225,1.33151,1.5156,0.00536081,0.00536081,0.00536081
50,4295,1.56494,1.33796,1.44738,0.82717,0.68969,0.75977,0.45533,1.49922,1.26602,1.51279,0.00520548,0.00520548,0.00520548
51,4371.75,1.58979,1.37107,1.50933,0.88801,0.68894,0.76401,0.45189,1.49558,1.24596,1.5014,0.00505,0.00505,0.00505
52,4440.17,1.532,1.33952,1.42777,0.87785,0.65494,0.75463,0.46938,1.45191,1.2583,1.48233,0.00489452,0.00489452,0.00489452
53,4496.42,1.5311,1.29508,1.44398,0.89756,0.70142,0.76582,0.45767,1.52565,1.25815,1.52864,0.00473919,0.00473919,0.00473919
54,4550.86,1.52573,1.2965,1.39296,0.91253,0.69212,0.78145,0.47037,1.53221,1.27269,1.53208,0.00458416,0.00458416,0.00458416
55,4616.94,1.51338,1.2994,1.42331,0.86932,0.64132,0.76042,0.47353,1.47994,1.24633,1.49256,0.0044296,0.0044296,0.0044296
56,4685.12,1.54081,1.34002,1.43993,0.77969,0.74577,0.78024,0.47672,1.48665,1.242,1.50105,0.00427565,0.00427565,0.00427565
57,4755.81,1.48159,1.24854,1.42512,0.87561,0.71606,0.79157,0.48412,1.48661,1.19186,1.48914,0.00412246,0.00412246,0.00412246
58,4830.74,1.56802,1.33806,1.4713,0.83477,0.73095,0.78161,0.49046,1.41656,1.1401,1.44105,0.00397019,0.00397019,0.00397019
59,4900.63,1.49709,1.26443,1.39811,0.91822,0.67934,0.79898,0.49174,1.45296,1.15216,1.44994,0.00381899,0.00381899,0.00381899
60,4971.68,1.4481,1.2349,1.37687,0.82301,0.74021,0.79986,0.48534,1.44082,1.13871,1.4455,0.00366899,0.00366899,0.00366899
61,5030.15,1.49553,1.25727,1.36086,0.87738,0.73437,0.81225,0.49847,1.43162,1.14036,1.44528,0.00352037,0.00352037,0.00352037
62,5091.12,1.46688,1.19472,1.35171,0.91742,0.725,0.80072,0.49696,1.45183,1.15191,1.45918,0.00337325,0.00337325,0.00337325
