epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3861.36,1.05356,0.73021,1.0434,0.94777,0.88163,0.92862,0.6293,1.07235,0.67953,1.06815,0.000643101,0.000643101,0.000643101
43,3950.61,1.06041,0.7132,1.04528,0.94886,0.88489,0.92981,0.64284,1.04131,0.62936,1.05745,0.000628101,0.000628101,0.000628101
44,4042.12,1.0337,0.70925,1.0316,0.96674,0.88976,0.93368,0.65148,1.02499,0.62725,1.04776,0.000612981,0.000612981,0.000612981
45,4130.66,1.05332,0.68925,1.03781,0.94954,0.89561,0.93474,0.63903,1.01499,0.62312,1.03037,0.000597754,0.000597754,0.000597754
46,4219.05,1.03494,0.69572,1.02239,0.94756,0.87822,0.93144,0.63871,1.01644,0.60291,1.03138,0.000582435,0.000582435,0.000582435
47,4312.38,1.0193,0.68769,1.02881,0.93632,0.87605,0.92632,0.64203,0.99813,0.62525,1.03171,0.00056704,0.00056704,0.00056704
48,4402.26,1.01464,0.67304,1.02652,0.95631,0.86946,0.93393,0.65373,0.97397,0.58311,1.02292,0.000551584,0.000551584,0.000551584
49,4495.71,1.01037,0.66271,1.01963,0.95703,0.88633,0.93054,0.64633,1.00035,0.5974,1.0384,0.000536081,0.000536081,0.000536081
50,4585.36,1.00354,0.64968,1.0118,0.92399,0.89386,0.92861,0.6465,1.01043,0.62611,1.04682,0.000520548,0.000520548,0.000520548
51,4676.23,0.99665,0.62646,1.02373,0.96343,0.89759,0.93591,0.65403,0.97771,0.60312,1.02122,0.000505,0.000505,0.000505
52,4766.05,0.9883,0.64714,1.01101,0.96384,0.88107,0.93472,0.64873,0.97762,0.59855,1.01826,0.000489452,0.000489452,0.000489452
53,4854.34,0.99528,0.66186,0.99977,0.9591,0.89928,0.94046,0.66522,0.94927,0.55635,1.00878,0.000473919,0.000473919,0.000473919
54,4948.93,0.95004,0.62528,1.00253,0.96033,0.88937,0.93213,0.65151,0.97389,0.58552,1.01411,0.000458416,0.000458416,0.000458416
55,5041.47,0.98271,0.62928,1.01347,0.96667,0.90089,0.937,0.66008,0.95295,0.58294,1.00315,0.00044296,0.00044296,0.00044296
56,5135.01,0.96866,0.60754,0.99782,0.96974,0.90674,0.94361,0.6698,0.95136,0.55897,1.00317,0.000427565,0.000427565,0.000427565
57,5232.63,0.95577,0.62398,1.00653,0.9638,0.90059,0.94088,0.6761,0.92271,0.55839,0.99757,0.000412246,0.000412246,0.000412246
58,5324.93,0.9289,0.59227,0.997,0.95766,0.89041,0.93467,0.67178,0.94072,0.54354,1.00938,0.000397019,0.000397019,0.000397019
59,5418.27,0.93561,0.59991,1.00754,0.95665,0.8998,0.93619,0.66363,0.96911,0.55841,1.01381,0.000381899,0.000381899,0.000381899
60,5513.53,0.94929,0.61166,0.99565,0.96802,0.91417,0.94185,0.66725,0.93086,0.54913,1.01147,0.000366899,0.000366899,0.000366899
61,5608.22,0.93882,0.59359,1.00174,0.98167,0.90567,0.94393,0.68204,0.93238,0.52822,1.00566,0.000352037,0.000352037,0.000352037
62,5702.24,0.92248,0.59358,0.97368,0.97126,0.90644,0.94635,0.67953,0.92827,0.52335,0.99852,0.000337325,0.000337325,0.000337325
63,5794.06,0.89998,0.57881,0.97978,0.97003,0.91375,0.94456,0.68541,0.91075,0.52301,0.99096,0.000322778,0.000322778,0.000322778
64,5885.65,0.92376,0.57219,0.98797,0.96182,0.8997,0.93935,0.67861,0.94296,0.53251,1.00167,0.000308412,0.000308412,0.000308412
65,5978.41,0.92281,0.58744,0.99446,0.97549,0.90786,0.95137,0.69011,0.91645,0.5187,0.99642,0.000294239,0.000294239,0.000294239
66,6072.99,0.92699,0.569,0.98533,0.96982,0.90973,0.94942,0.69209,0.9007,0.51859,0.98677,0.000280275,0.000280275,0.000280275
67,6167.89,0.8769,0.55243,0.97668,0.97167,0.91002,0.94817,0.68908,0.88596,0.49836,0.98427,0.000266532,0.000266532,0.000266532
68,6259.75,0.88925,0.55946,0.96595,0.97979,0.91255,0.95373,0.69607,0.8956,0.50123,0.97992,0.000253024,0.000253024,0.000253024
69,6349.21,0.87839,0.5419,0.96888,0.97084,0.90961,0.95063,0.69755,0.8805,0.49981,0.98256,0.000239766,0.000239766,0.000239766
70,6440.25,0.87208,0.54501,0.96419,0.97522,0.91454,0.94828,0.69648,0.89661,0.50258,0.99323,0.000226769,0.000226769,0.000226769
71,6532.74,0.85685,0.55643,0.96101,0.96941,0.91824,0.95078,0.70149,0.88424,0.50342,0.99052,0.000214046,0.000214046,0.000214046
72,6626.58,0.85944,0.53443,0.96408,0.96964,0.91625,0.95172,0.6959,0.8784,0.48591,0.98384,0.000201611,0.000201611,0.000201611
73,6721.62,0.84894,0.5363,0.95394,0.95989,0.92965,0.95448,0.70055,0.8751,0.4876,0.98346,0.000189475,0.000189475,0.000189475
74,6817.75,0.82837,0.50776,0.95957,0.97537,0.91727,0.95247,0.69553,0.87109,0.48324,0.9795,0.000177651,0.000177651,0.000177651
75,6907.17,0.85697,0.53283,0.96934,0.96973,0.92437,0.95493,0.70579,0.86408,0.47984,0.97435,0.000166149,0.000166149,0.000166149
76,7001.85,0.83176,0.53085,0.95437,0.97194,0.91726,0.95175,0.70637,0.8732,0.48079,0.97846,0.000154982,0.000154982,0.000154982
