epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15951,0.99455,0.6362,1.08747,0.9452,0.8966,0.9375,0.65081,1.01937,0.59495,1.14347,0.000643101,0.000643101,0.000643101
43,16284.8,0.96824,0.63034,1.07018,0.94924,0.9005,0.94156,0.64643,1.01501,0.57028,1.12703,0.000628101,0.000628101,0.000628101
44,16619.6,0.97324,0.61317,1.07711,0.96084,0.91535,0.95096,0.67073,0.97896,0.55329,1.11389,0.000612981,0.000612981,0.000612981
45,16942.4,0.97463,0.59451,1.06854,0.95937,0.91053,0.94253,0.66061,0.99325,0.57254,1.13652,0.000597754,0.000597754,0.000597754
46,17350.6,0.94556,0.57728,1.05425,0.95941,0.92425,0.94808,0.65556,0.99533,0.54451,1.12853,0.000582435,0.000582435,0.000582435
47,17702.2,0.92018,0.57025,1.05942,0.95535,0.92526,0.95336,0.67469,0.97777,0.52432,1.12836,0.00056704,0.00056704,0.00056704
48,18037.2,0.92571,0.58044,1.05854,0.95099,0.9172,0.94321,0.64703,1.00982,0.55524,1.14147,0.000551584,0.000551584,0.000551584
49,18383.9,0.93306,0.56728,1.05107,0.94361,0.9241,0.94752,0.65914,0.98976,0.5306,1.1237,0.000536081,0.000536081,0.000536081
50,18713.2,0.9048,0.54765,1.0375,0.95521,0.92079,0.94971,0.67357,0.98127,0.52527,1.1153,0.000520548,0.000520548,0.000520548
51,19047.8,0.91059,0.5477,1.05226,0.94906,0.92734,0.95002,0.68476,0.94801,0.52008,1.10377,0.000505,0.000505,0.000505
52,19383.5,0.898,0.55318,1.04682,0.93199,0.91459,0.93182,0.65715,0.96093,0.52986,1.11463,0.000489452,0.000489452,0.000489452
53,19706,0.88979,0.54561,1.01632,0.95737,0.9038,0.94545,0.68527,0.94077,0.52992,1.1066,0.000473919,0.000473919,0.000473919
54,20051.8,0.88178,0.52682,1.04673,0.9452,0.9134,0.94485,0.66507,0.94409,0.51952,1.10849,0.000458416,0.000458416,0.000458416
55,20487.2,0.86978,0.51711,1.02769,0.95547,0.92518,0.95322,0.69315,0.92152,0.50373,1.10463,0.00044296,0.00044296,0.00044296
56,20939.2,0.85131,0.49922,1.01132,0.95181,0.91783,0.95082,0.68876,0.8966,0.49949,1.08399,0.000427565,0.000427565,0.000427565
57,21407.2,0.85327,0.51067,1.03,0.95584,0.92249,0.94905,0.6899,0.92026,0.49455,1.08109,0.000412246,0.000412246,0.000412246
58,21861.7,0.83934,0.49165,1.02388,0.96109,0.91251,0.95077,0.69621,0.90255,0.47168,1.07962,0.000397019,0.000397019,0.000397019
59,22316.8,0.83858,0.50578,1.02732,0.96305,0.92554,0.95596,0.6937,0.91613,0.48417,1.07468,0.000381899,0.000381899,0.000381899
60,22776.2,0.83534,0.50689,1.01247,0.96236,0.93645,0.96089,0.70664,0.88108,0.47845,1.06535,0.000366899,0.000366899,0.000366899
61,23240.7,0.85058,0.48975,1.02222,0.9592,0.92793,0.95685,0.70456,0.89584,0.46321,1.07806,0.000352037,0.000352037,0.000352037
62,23700.1,0.81874,0.48321,1.00151,0.96196,0.91978,0.95484,0.70517,0.87837,0.46299,1.0658,0.000337325,0.000337325,0.000337325
63,24142.2,0.80513,0.48363,1.00448,0.95792,0.93742,0.96218,0.70888,0.87698,0.45556,1.06445,0.000322778,0.000322778,0.000322778
64,24590.2,0.80845,0.46582,1.00042,0.95922,0.93808,0.96401,0.71264,0.88563,0.45886,1.06878,0.000308412,0.000308412,0.000308412
65,25050,0.79968,0.47322,1.00734,0.96634,0.9302,0.96299,0.71478,0.86705,0.46298,1.07415,0.000294239,0.000294239,0.000294239
66,25519.1,0.79201,0.45752,0.99373,0.95539,0.93436,0.96072,0.70846,0.87198,0.46444,1.0644,0.000280275,0.000280275,0.000280275
67,25989.2,0.78224,0.44992,1.0042,0.973,0.92329,0.9634,0.71815,0.86431,0.44565,1.06022,0.000266532,0.000266532,0.000266532
68,26434.6,0.77276,0.45165,0.98042,0.96559,0.92888,0.96292,0.72017,0.85388,0.44494,1.04994,0.000253024,0.000253024,0.000253024
69,26863.6,0.74886,0.43653,0.98068,0.96146,0.93678,0.9657,0.71653,0.83934,0.43444,1.04762,0.000239766,0.000239766,0.000239766
70,27310.8,0.75772,0.43684,0.9856,0.95468,0.93953,0.96417,0.71798,0.84495,0.43149,1.05012,0.000226769,0.000226769,0.000226769
71,27762,0.73913,0.44733,0.97188,0.95619,0.94767,0.96964,0.7339,0.82415,0.4142,1.04128,0.000214046,0.000214046,0.000214046
72,28224.3,0.73406,0.42727,0.9731,0.96547,0.94999,0.97188,0.72981,0.82288,0.40829,1.04066,0.000201611,0.000201611,0.000201611
73,28693.4,0.72376,0.43699,0.97601,0.96744,0.94397,0.96809,0.73057,0.80893,0.41423,1.0338,0.000189475,0.000189475,0.000189475
74,29173.5,0.70628,0.40899,0.9793,0.96961,0.93295,0.9642,0.73627,0.81623,0.41267,1.03808,0.000177651,0.000177651,0.000177651
75,29606.4,0.73837,0.42472,0.98267,0.9626,0.94591,0.97291,0.73848,0.80954,0.41461,1.03245,0.000166149,0.000166149,0.000166149
76,30054.9,0.71114,0.41946,0.96876,0.97308,0.94455,0.97523,0.7393,0.80966,0.41553,1.03376,0.000154982,0.000154982,0.000154982
77,30641.9,0.7197,0.4095,0.96603,0.96759,0.93221,0.96732,0.73881,0.80346,0.41509,1.02992,0.000144161,0.000144161,0.000144161
78,31089,0.70623,0.41178,0.95248,0.96533,0.93861,0.96986,0.73782,0.79696,0.4089,1.02914,0.000133695,0.000133695,0.000133695
79,31544.5,0.70324,0.4079,0.97219,0.96865,0.94698,0.97295,0.74763,0.78143,0.40543,1.02714,0.000123596,0.000123596,0.000123596
80,32012.3,0.6749,0.39257,0.96653,0.97396,0.94459,0.97472,0.74398,0.79444,0.40815,1.02745,0.000113873,0.000113873,0.000113873
81,32486.3,0.7017,0.41817,0.96961,0.97235,0.94325,0.97299,0.74125,0.78552,0.39824,1.02809,0.000104537,0.000104537,0.000104537
82,32943.1,0.69273,0.41127,0.96046,0.9719,0.94325,0.97337,0.74376,0.79186,0.39444,1.02632,9.55951e-05,9.55951e-05,9.55951e-05
83,33403.6,0.66923,0.38985,0.94334,0.97073,0.94264,0.97505,0.74993,0.78386,0.39816,1.02284,8.70577e-05,8.70577e-05,8.70577e-05
84,33845.4,0.68283,0.39876,0.95317,0.96987,0.94048,0.97341,0.74368,0.80096,0.40224,1.03007,7.89327e-05,7.89327e-05,7.89327e-05
85,34600.5,0.68716,0.39267,0.94862,0.97011,0.94521,0.9758,0.75499,0.78753,0.39242,1.02512,7.12282e-05,7.12282e-05,7.12282e-05
86,35074.5,0.69097,0.39721,0.96848,0.9709,0.94898,0.9775,0.75827,0.77381,0.38477,1.01895,6.39518e-05,6.39518e-05,6.39518e-05
87,35520.8,0.64578,0.37959,0.94668,0.97429,0.9534,0.97829,0.75874,0.77342,0.38491,1.0159,5.71106e-05,5.71106e-05,5.71106e-05
88,35962.4,0.65103,0.37606,0.941,0.97134,0.95313,0.97811,0.75966,0.76495,0.38001,1.012,5.07115e-05,5.07115e-05,5.07115e-05
89,36396.3,0.67793,0.38566,0.95557,0.97182,0.95384,0.97854,0.76232,0.77263,0.38224,1.01549,4.47606e-05,4.47606e-05,4.47606e-05
90,36837.3,0.6657,0.38282,0.94916,0.9691,0.95701,0.97714,0.76125,0.76613,0.37892,1.01336,3.9264e-05,3.9264e-05,3.9264e-05
91,37295.8,0.60072,0.32144,0.91609,0.97029,0.95754,0.97691,0.76178,0.76663,0.38209,1.0123,3.4227e-05,3.4227e-05,3.4227e-05
92,37767.7,0.62035,0.33257,0.93281,0.9709,0.95422,0.97654,0.76292,0.76164,0.37725,1.00993,2.96546e-05,2.96546e-05,2.96546e-05
93,38232.9,0.60586,0.32517,0.92728,0.97231,0.95816,0.97727,0.76618,0.7545,0.37599,1.0103,2.55513e-05,2.55513e-05,2.55513e-05
94,38698.8,0.60673,0.3242,0.92329,0.97462,0.95731,0.97916,0.76522,0.75675,0.37546,1.01003,2.19212e-05,2.19212e-05,2.19212e-05
95,39137.6,0.60546,0.32671,0.9181,0.97346,0.95416,0.97757,0.76697,0.75361,0.37444,1.00829,1.87678e-05,1.87678e-05,1.87678e-05
96,39568.2,0.60103,0.32639,0.90912,0.96653,0.95745,0.97728,0.76407,0.75759,0.37764,1.00775,1.60943e-05,1.60943e-05,1.60943e-05
97,40010,0.59734,0.32,0.90876,0.96923,0.95602,0.97731,0.7604,0.76467,0.37856,1.00971,1.39032e-05,1.39032e-05,1.39032e-05
98,40458.6,0.59404,0.31443,0.91528,0.97101,0.96088,0.97941,0.76215,0.75782,0.3777,1.0084,1.21968e-05,1.21968e-05,1.21968e-05
99,41156.1,0.60574,0.32656,0.90658,0.97042,0.95839,0.97931,0.76318,0.75897,0.37695,1.00856,1.09768e-05,1.09768e-05,1.09768e-05
100,41586.2,0.60564,0.32009,0.90977,0.9727,0.95744,0.9794,0.7643,0.75542,0.37433,1.00883,1.02443e-05,1.02443e-05,1.02443e-05
