epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6682.2,1.00442,0.64336,1.03389,0.95296,0.90561,0.94165,0.66483,1.00171,0.5814,1.06393,0.000643101,0.000643101,0.000643101
43,6837.63,0.99809,0.65177,1.03157,0.92809,0.90982,0.93245,0.64468,1.02745,0.61099,1.06647,0.000628101,0.000628101,0.000628101
44,6995.46,0.98325,0.6401,1.0246,0.96221,0.90102,0.93734,0.6491,1.00771,0.59258,1.05166,0.000612981,0.000612981,0.000612981
45,7148.3,0.97644,0.61082,1.01492,0.95308,0.8983,0.944,0.65595,1.01839,0.60504,1.05654,0.000597754,0.000597754,0.000597754
46,7300.42,0.96418,0.61337,1.00563,0.95323,0.87134,0.93319,0.64415,1.03222,0.61501,1.0638,0.000582435,0.000582435,0.000582435
47,7463.3,0.93668,0.60449,1.00963,0.95131,0.90158,0.94865,0.6642,0.99029,0.56198,1.04363,0.00056704,0.00056704,0.00056704
48,7620.27,0.92868,0.59643,0.99873,0.96077,0.88767,0.94472,0.65615,0.99528,0.56654,1.05094,0.000551584,0.000551584,0.000551584
49,7781.88,0.93798,0.57932,0.99675,0.94877,0.9075,0.95457,0.66731,0.99157,0.53917,1.05688,0.000536081,0.000536081,0.000536081
50,7937.2,0.92777,0.56825,0.98129,0.9614,0.90676,0.94856,0.67308,0.98007,0.54292,1.03843,0.000520548,0.000520548,0.000520548
51,8094.81,0.91849,0.55579,1.00337,0.94722,0.90669,0.94222,0.67368,0.95392,0.57569,1.01955,0.000505,0.000505,0.000505
52,8251.46,0.90753,0.56984,0.99182,0.94656,0.91085,0.9455,0.66988,0.95914,0.53969,1.03038,0.000489452,0.000489452,0.000489452
53,8403.51,0.91891,0.56562,0.97805,0.95427,0.91463,0.95152,0.68159,0.94907,0.53755,1.02296,0.000473919,0.000473919,0.000473919
54,8565.47,0.88021,0.54303,0.98492,0.93491,0.92465,0.95413,0.68731,0.94703,0.52809,1.02417,0.000458416,0.000458416,0.000458416
55,8723.73,0.88208,0.53509,0.97617,0.96135,0.89963,0.95562,0.69702,0.90202,0.50249,1.00791,0.00044296,0.00044296,0.00044296
56,8882.37,0.87289,0.51526,0.96816,0.94299,0.91666,0.95409,0.68373,0.93404,0.51835,1.01759,0.000427565,0.000427565,0.000427565
57,9046.4,0.8869,0.54025,0.98381,0.95904,0.90644,0.95705,0.68377,0.9297,0.51386,1.02042,0.000412246,0.000412246,0.000412246
58,9204.46,0.8519,0.52162,0.97411,0.97339,0.89723,0.9471,0.68562,0.93197,0.50716,1.02616,0.000397019,0.000397019,0.000397019
59,9363.53,0.85781,0.52697,0.98719,0.96546,0.90758,0.94884,0.69269,0.96723,0.52638,1.03337,0.000381899,0.000381899,0.000381899
60,9523.88,0.85649,0.52587,0.96616,0.96404,0.91665,0.9529,0.69253,0.9127,0.4912,1.01937,0.000366899,0.000366899,0.000366899
61,9686.58,0.86858,0.51528,0.97815,0.95924,0.92368,0.95256,0.69988,0.91708,0.4934,1.01099,0.000352037,0.000352037,0.000352037
62,9847.21,0.84538,0.50717,0.95835,0.96277,0.90639,0.95706,0.70707,0.90197,0.4966,1.01104,0.000337325,0.000337325,0.000337325
63,10003.8,0.80438,0.49295,0.95536,0.9654,0.90997,0.95543,0.7045,0.88463,0.48286,1.00569,0.000322778,0.000322778,0.000322778
64,10160.8,0.83345,0.48932,0.96051,0.96459,0.9148,0.96255,0.69992,0.91306,0.4907,1.00864,0.000308412,0.000308412,0.000308412
65,10320.2,0.8373,0.50037,0.97023,0.97041,0.91543,0.96004,0.70713,0.88453,0.48122,0.9968,0.000294239,0.000294239,0.000294239
66,10483.8,0.82607,0.48046,0.95681,0.969,0.91897,0.95913,0.71318,0.87564,0.47061,0.99345,0.000280275,0.000280275,0.000280275
67,10648.4,0.80865,0.47642,0.96266,0.96998,0.91113,0.95877,0.71326,0.86389,0.47062,0.99261,0.000266532,0.000266532,0.000266532
68,10806.5,0.79305,0.47985,0.94163,0.94526,0.93169,0.96115,0.71301,0.87684,0.47103,0.99851,0.000253024,0.000253024,0.000253024
69,10963.3,0.77227,0.45982,0.94209,0.95892,0.92787,0.96661,0.72026,0.84701,0.46291,0.99213,0.000239766,0.000239766,0.000239766
70,11120.1,0.78777,0.4693,0.94548,0.95755,0.92664,0.9625,0.71855,0.85104,0.4499,0.99756,0.000226769,0.000226769,0.000226769
71,11277.9,0.76279,0.4707,0.94417,0.96286,0.92684,0.96683,0.72653,0.84125,0.46436,0.99257,0.000214046,0.000214046,0.000214046
72,11440.7,0.76632,0.45182,0.93567,0.96158,0.93428,0.96844,0.73417,0.82577,0.44207,0.98459,0.000201611,0.000201611,0.000201611
73,11605.3,0.74268,0.44843,0.93004,0.97435,0.9215,0.96892,0.73508,0.80932,0.42857,0.98178,0.000189475,0.000189475,0.000189475
74,11774.9,0.74972,0.43143,0.93931,0.96356,0.93034,0.96994,0.72959,0.82427,0.43984,0.98692,0.000177651,0.000177651,0.000177651
75,11929.3,0.75064,0.44462,0.94065,0.96101,0.93166,0.96869,0.73573,0.82303,0.44405,0.98303,0.000166149,0.000166149,0.000166149
76,12105.8,0.74686,0.44449,0.93367,0.97442,0.91835,0.96821,0.73627,0.83062,0.44132,0.98991,0.000154982,0.000154982,0.000154982
77,12269.9,0.75294,0.44167,0.93031,0.96919,0.91496,0.9664,0.73359,0.82702,0.43768,0.9892,0.000144161,0.000144161,0.000144161
78,12431,0.72976,0.43423,0.91868,0.96766,0.93356,0.97132,0.73756,0.80669,0.43297,0.98164,0.000133695,0.000133695,0.000133695
79,12593.6,0.73455,0.43408,0.92518,0.97521,0.93141,0.97192,0.73827,0.80082,0.42614,0.98328,0.000123596,0.000123596,0.000123596
80,12761.9,0.71051,0.41931,0.92987,0.96713,0.93976,0.97309,0.74037,0.80506,0.43235,0.98313,0.000113873,0.000113873,0.000113873
81,12920.3,0.72773,0.44048,0.93027,0.96892,0.92445,0.96931,0.73953,0.80871,0.43434,0.98674,0.000104537,0.000104537,0.000104537
82,13082.9,0.72893,0.44344,0.93228,0.9611,0.92742,0.96726,0.74265,0.80286,0.42558,0.98131,9.55951e-05,9.55951e-05,9.55951e-05
83,13246.3,0.71204,0.42668,0.92274,0.97812,0.9198,0.9714,0.74802,0.78897,0.42518,0.97455,8.70577e-05,8.70577e-05,8.70577e-05
84,13404.5,0.70067,0.42697,0.91535,0.95685,0.9321,0.97125,0.74617,0.79106,0.42675,0.97477,7.89327e-05,7.89327e-05,7.89327e-05
85,13563,0.70742,0.4167,0.91228,0.97964,0.91655,0.9703,0.7449,0.78891,0.43019,0.9733,7.12282e-05,7.12282e-05,7.12282e-05
86,13721.6,0.72705,0.43051,0.93225,0.96839,0.93213,0.97048,0.7395,0.79531,0.42885,0.97354,6.39518e-05,6.39518e-05,6.39518e-05
87,13879.9,0.68639,0.40773,0.9172,0.96542,0.93805,0.97093,0.74589,0.79255,0.42302,0.97162,5.71106e-05,5.71106e-05,5.71106e-05
88,14036.8,0.68217,0.40902,0.91176,0.96844,0.93525,0.97064,0.74616,0.79181,0.4261,0.97034,5.07115e-05,5.07115e-05,5.07115e-05
89,14200.3,0.71293,0.41642,0.92447,0.96856,0.93452,0.97152,0.74826,0.78759,0.41779,0.96892,4.47606e-05,4.47606e-05,4.47606e-05
90,14359.2,0.70143,0.41385,0.91567,0.97224,0.93349,0.97024,0.7492,0.78063,0.41921,0.96767,3.9264e-05,3.9264e-05,3.9264e-05
91,14524.7,0.63357,0.3531,0.87793,0.96709,0.9359,0.97098,0.74558,0.78454,0.41566,0.96734,3.4227e-05,3.4227e-05,3.4227e-05
92,14692.5,0.64956,0.35989,0.89215,0.9662,0.93318,0.96907,0.74709,0.77793,0.41455,0.96674,2.96546e-05,2.96546e-05,2.96546e-05
93,14859.6,0.63658,0.35587,0.88821,0.9724,0.93016,0.97235,0.74949,0.77558,0.41436,0.96565,2.55513e-05,2.55513e-05,2.55513e-05
94,15023.6,0.62746,0.3526,0.87933,0.97263,0.93436,0.9724,0.74545,0.78167,0.41185,0.96551,2.19212e-05,2.19212e-05,2.19212e-05
95,15181.1,0.63956,0.35397,0.88246,0.97297,0.93535,0.9708,0.75119,0.77083,0.4125,0.96397,1.87678e-05,1.87678e-05,1.87678e-05
96,15335.3,0.63126,0.35486,0.87975,0.97255,0.93131,0.97042,0.74826,0.77402,0.41395,0.96472,1.60943e-05,1.60943e-05,1.60943e-05
97,15495.3,0.63925,0.34913,0.87719,0.97397,0.93274,0.97091,0.74919,0.77668,0.41166,0.96437,1.39032e-05,1.39032e-05,1.39032e-05
98,15656.3,0.62243,0.3427,0.87954,0.97353,0.93268,0.97266,0.75144,0.77127,0.41323,0.96397,1.21968e-05,1.21968e-05,1.21968e-05
99,15811.9,0.63518,0.34499,0.87406,0.97234,0.93443,0.97345,0.75211,0.77209,0.41002,0.96563,1.09768e-05,1.09768e-05,1.09768e-05
100,15965.9,0.6331,0.34137,0.87452,0.97216,0.93091,0.97044,0.75186,0.77065,0.41208,0.96509,1.02443e-05,1.02443e-05,1.02443e-05
