epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3860.74,1.61859,1.43356,1.59777,0.79413,0.64026,0.71772,0.42381,1.55746,1.48925,1.63586,0.00643101,0.00643101,0.00643101
43,3949.7,1.58491,1.45038,1.56317,0.8324,0.67249,0.73356,0.43121,1.54283,1.35429,1.6253,0.00628101,0.00628101,0.00628101
44,4040.25,1.61925,1.40149,1.581,0.83529,0.6596,0.73208,0.4151,1.58861,1.39435,1.64027,0.00612981,0.00612981,0.00612981
45,4129.21,1.58035,1.47599,1.56847,0.82952,0.65265,0.71123,0.41216,1.59576,1.44647,1.65326,0.00597754,0.00597754,0.00597754
46,4218.84,1.56587,1.40806,1.53462,0.77224,0.6952,0.72551,0.41556,1.54105,1.45396,1.6261,0.00582435,0.00582435,0.00582435
47,4307.3,1.57666,1.30999,1.55759,0.75962,0.62736,0.69101,0.40815,1.56101,1.45046,1.65662,0.0056704,0.0056704,0.0056704
48,4396.44,1.6065,1.35321,1.53616,0.82295,0.67531,0.71579,0.40176,1.60235,1.4044,1.66677,0.00551584,0.00551584,0.00551584
49,4487.22,1.50655,1.29175,1.50414,0.84411,0.6721,0.73733,0.42884,1.57857,1.32476,1.64775,0.00536081,0.00536081,0.00536081
50,4576.04,1.55127,1.29933,1.53766,0.86712,0.65531,0.71592,0.41709,1.58858,1.31214,1.64348,0.00520548,0.00520548,0.00520548
51,4664.85,1.52646,1.29295,1.49276,0.80209,0.69912,0.74187,0.41677,1.58992,1.35681,1.65914,0.00505,0.00505,0.00505
52,4755.54,1.49564,1.26162,1.50517,0.8439,0.69374,0.74916,0.43658,1.58816,1.31833,1.64749,0.00489452,0.00489452,0.00489452
53,4846.16,1.52283,1.23187,1.51041,0.88999,0.69526,0.76269,0.43648,1.59504,1.30982,1.67133,0.00473919,0.00473919,0.00473919
54,4935.2,1.53149,1.2845,1.50652,0.8335,0.70433,0.75408,0.42381,1.586,1.31844,1.66342,0.00458416,0.00458416,0.00458416
55,5024.74,1.49255,1.26396,1.49339,0.79642,0.71278,0.74196,0.42068,1.56552,1.30649,1.63881,0.0044296,0.0044296,0.0044296
56,5114.66,1.48905,1.2044,1.45018,0.89679,0.63004,0.7411,0.4492,1.5058,1.30669,1.59109,0.00427565,0.00427565,0.00427565
57,5204.13,1.47903,1.25433,1.4787,0.86298,0.70984,0.77069,0.44229,1.52901,1.28139,1.61819,0.00412246,0.00412246,0.00412246
58,5293.05,1.50416,1.28899,1.50101,0.86047,0.71128,0.75605,0.44557,1.48367,1.2962,1.58019,0.00397019,0.00397019,0.00397019
59,5381.77,1.43389,1.20062,1.47162,0.84532,0.68872,0.75986,0.45424,1.51674,1.25986,1.60713,0.00381899,0.00381899,0.00381899
60,5471.09,1.45058,1.12905,1.44096,0.8363,0.72888,0.76643,0.45622,1.50481,1.22094,1.5649,0.00366899,0.00366899,0.00366899
61,5560.66,1.39766,1.12624,1.43089,0.86706,0.72135,0.77596,0.453,1.515,1.23982,1.57278,0.00352037,0.00352037,0.00352037
62,5650.23,1.41351,1.13603,1.41716,0.87807,0.70392,0.78371,0.47673,1.47016,1.18737,1.56856,0.00337325,0.00337325,0.00337325
63,5739.25,1.40756,1.11985,1.44633,0.88524,0.74066,0.79045,0.47878,1.46003,1.18275,1.5529,0.00322778,0.00322778,0.00322778
64,5830.83,1.42179,1.13325,1.40431,0.92966,0.70628,0.79273,0.48608,1.4565,1.16017,1.54924,0.00308412,0.00308412,0.00308412
65,5919.78,1.43083,1.09009,1.42457,0.9131,0.71226,0.80108,0.47205,1.49674,1.20097,1.57649,0.00294239,0.00294239,0.00294239
66,6010.07,1.38655,1.08248,1.41607,0.90786,0.69749,0.80004,0.48387,1.47727,1.15406,1.56544,0.00280275,0.00280275,0.00280275
67,6101.78,1.43132,1.08535,1.44561,0.87227,0.69878,0.79205,0.47514,1.48127,1.18663,1.57489,0.00266532,0.00266532,0.00266532
68,6192.29,1.35564,1.06032,1.40337,0.85386,0.73104,0.81829,0.49831,1.47085,1.12296,1.54238,0.00253024,0.00253024,0.00253024
69,6283.78,1.38307,1.07683,1.41356,0.95842,0.7349,0.83216,0.50425,1.45471,1.11559,1.52517,0.00239766,0.00239766,0.00239766
70,6376.61,1.36587,1.04695,1.43025,0.91622,0.77262,0.81337,0.49143,1.48644,1.15119,1.53235,0.00226769,0.00226769,0.00226769
71,6465.62,1.32013,1.00296,1.39835,0.88916,0.76763,0.81768,0.48706,1.47094,1.10836,1.53537,0.00214046,0.00214046,0.00214046
72,6554.95,1.36741,1.01033,1.36589,0.86083,0.76286,0.80518,0.49247,1.47403,1.11603,1.52039,0.00201611,0.00201611,0.00201611
