epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.486,2.10395,3.99839,1.83229,0.09115,0.12214,0.04328,0.02048,2.37837,18.1701,2.32366,0.0701685,0.00331461,0.00331461
2,438.407,2.17652,3.56963,1.93275,0.15736,0.2081,0.1006,0.04991,2.12509,4.52634,2.14186,0.0401669,0.00664632,0.00664632
3,690.9,2.10941,3.36346,1.92074,0.26813,0.2058,0.10739,0.05653,2.12659,6.96312,2.09046,0.0101588,0.00997152,0.00997152
4,947.867,2.01484,3.00717,1.83981,0.36372,0.26679,0.24283,0.12484,1.9752,5.91104,1.91678,0.00997803,0.00997803,0.00997803
5,1136.21,1.95226,2.8132,1.76473,0.53861,0.30243,0.30005,0.16396,1.84008,3.5835,1.76364,0.00996097,0.00996097,0.00996097
6,1324.95,1.87721,2.64884,1.71868,0.41696,0.28201,0.26533,0.13844,1.86203,2.77778,1.76952,0.00993906,0.00993906,0.00993906
7,1512.55,1.84191,2.51606,1.70673,0.55141,0.32901,0.38316,0.20034,1.78764,2.54551,1.75861,0.00991232,0.00991232,0.00991232
8,1700.51,1.80056,2.41939,1.67109,0.57462,0.40245,0.41572,0.23244,1.74231,2.33944,1.67453,0.00988079,0.00988079,0.00988079
9,1887.71,1.77294,2.20939,1.64679,0.66097,0.41371,0.49578,0.27337,1.72253,1.99386,1.72207,0.00984449,0.00984449,0.00984449
10,2075.2,1.73134,2.166,1.6292,0.66227,0.48634,0.54581,0.30189,1.61974,1.88056,1.62984,0.00980345,0.00980345,0.00980345
11,2262.46,1.70941,2.08666,1.60932,0.65618,0.52597,0.5623,0.32251,1.59522,1.84341,1.60787,0.00975773,0.00975773,0.00975773
12,2450.62,1.69936,2.06811,1.59812,0.61779,0.51922,0.54073,0.30206,1.59765,1.78578,1.56574,0.00970736,0.00970736,0.00970736
13,2638.85,1.67668,1.98132,1.5545,0.70222,0.47321,0.54654,0.31767,1.55913,1.78918,1.55666,0.00965239,0.00965239,0.00965239
14,2828.65,1.67739,1.98322,1.55156,0.67794,0.54888,0.59533,0.3513,1.51262,1.76042,1.53087,0.00959289,0.00959289,0.00959289
15,3023.14,1.63547,1.91887,1.52842,0.72231,0.55017,0.59802,0.35762,1.48233,1.67766,1.49163,0.00952889,0.00952889,0.00952889
16,3212.09,1.60862,1.80171,1.52439,0.73641,0.57221,0.64281,0.38007,1.47522,1.51877,1.50281,0.00946048,0.00946048,0.00946048
